    Xi (deg)   Xn       delMag   No. in bin
    -0.040     0.040    -0.005       0
    -0.020     0.040    -0.005       0
     0.000     0.040     0.000       0
     0.020     0.040     0.022       0
     0.040     0.040     0.022       0
     0.060     0.040     0.022       0
     0.080     0.040     0.022       0
     0.100     0.040     0.022       0
     0.120     0.040     0.022       0
     0.140     0.040     0.022       0
     0.160     0.040     0.022       0
     0.180     0.040     0.022       0
     0.200     0.040     0.022       0
     0.220     0.040     0.022       0
     0.240     0.040     0.022       0
     0.260     0.040     0.022       0
     0.280     0.040     0.022       0
     0.300     0.040     0.022       0
     0.320     0.040     0.022       0
     0.340     0.040     0.022       0
    -0.340     0.060     0.019       0
    -0.320     0.060     0.020       0
    -0.300     0.060     0.021       0
    -0.280     0.060     0.019       0
    -0.260     0.060     0.016       0
    -0.240     0.060     0.009       0
    -0.220     0.060     0.004       0
    -0.200     0.060    -0.003       0
    -0.180     0.060    -0.006       0
    -0.160     0.060    -0.009       0
    -0.140     0.060    -0.008       0
    -0.120     0.060    -0.007       0
    -0.100     0.060    -0.006       0
    -0.080     0.060    -0.005       0
    -0.060     0.060    -0.005       0
    -0.040     0.060    -0.005       0
    -0.020     0.060    -0.005       0
     0.000     0.060    -0.000       0
     0.020     0.060     0.022       0
     0.040     0.060     0.022       0
     0.060     0.060     0.022       0
     0.080     0.060     0.023       0
     0.100     0.060     0.025       0
     0.120     0.060     0.025       0
     0.140     0.060     0.022       0
     0.160     0.060     0.019       0
     0.180     0.060     0.018       0
     0.200     0.060     0.016       0
     0.220     0.060     0.013       0
     0.240     0.060     0.010       0
     0.260     0.060     0.008       0
     0.280     0.060     0.007       0
     0.300     0.060     0.007       0
     0.320     0.060     0.006       0
     0.340     0.060     0.006       0
    -0.340     0.080     0.043       0
    -0.320     0.080     0.045       0
    -0.300     0.080     0.047       0
    -0.280     0.080     0.044       0
    -0.260     0.080     0.037       0
    -0.240     0.080     0.024       0
    -0.220     0.080     0.014       0
    -0.200     0.080     0.000       0
    -0.180     0.080    -0.007       0
    -0.160     0.080    -0.013       0
    -0.140     0.080    -0.011       0
    -0.120     0.080    -0.008       0
    -0.100     0.080    -0.006       0
    -0.080     0.080    -0.005       0
    -0.060     0.080    -0.005       0
    -0.040     0.080    -0.005       0
    -0.020     0.080    -0.005       0
     0.000     0.080    -0.000       0
     0.020     0.080     0.022       0
     0.040     0.080     0.022       0
     0.060     0.080     0.022       0
     0.080     0.080     0.025       0
     0.100     0.080     0.028       0
     0.120     0.080     0.027       0
     0.140     0.080     0.022       0
     0.160     0.080     0.017       0
     0.180     0.080     0.014       0
     0.200     0.080     0.010       0
     0.220     0.080     0.004       0
     0.240     0.080    -0.002       0
     0.260     0.080    -0.006       0
     0.280     0.080    -0.008       0
     0.300     0.080    -0.008       0
