    Xi (deg)   Xn       delMag   No. in bin
     0.180     0.020     0.008       0
     0.200     0.020     0.008       0
     0.220     0.020     0.008       0
     0.240     0.020     0.008       0
     0.260     0.020     0.008       0
     0.280     0.020     0.008       0
     0.300     0.020     0.008       0
     0.320     0.020     0.008       0
     0.340     0.020     0.008       0
    -0.340     0.040    -0.042       0
    -0.320     0.040    -0.042       0
    -0.300     0.040    -0.042       0
    -0.280     0.040    -0.042       0
    -0.260     0.040    -0.042       0
    -0.240     0.040    -0.042       0
    -0.220     0.040    -0.042       0
    -0.200     0.040    -0.042       0
    -0.180     0.040    -0.042       0
    -0.160     0.040    -0.042       0
    -0.140     0.040    -0.042       0
    -0.120     0.040    -0.042       0
    -0.100     0.040    -0.042       0
    -0.080     0.040    -0.042       0
    -0.060     0.040    -0.042       0
    -0.040     0.040    -0.042       0
    -0.020     0.040    -0.042       0
     0.000     0.040     0.000       0
     0.020     0.040     0.008       0
     0.040     0.040     0.008       0
     0.060     0.040     0.008       0
     0.080     0.040     0.008       0
     0.100     0.040     0.008       0
     0.120     0.040     0.008       0
     0.140     0.040     0.008       0
     0.160     0.040     0.008       0
     0.180     0.040     0.008       0
     0.200     0.040     0.008       0
     0.220     0.040     0.008       0
     0.240     0.040     0.008       0
     0.260     0.040     0.008       0
     0.280     0.040     0.008       0
     0.300     0.040     0.008       0
     0.320     0.040     0.008       0
     0.340     0.040     0.008       0
    -0.340     0.060    -0.014       0
    -0.320     0.060    -0.012       0
    -0.300     0.060    -0.010       0
    -0.280     0.060    -0.010       0
    -0.260     0.060    -0.011       0
    -0.240     0.060    -0.015       0
    -0.220     0.060    -0.022       0
    -0.200     0.060    -0.029       0
    -0.180     0.060    -0.035       0
    -0.160     0.060    -0.034       0
    -0.140     0.060    -0.033       0
    -0.120     0.060    -0.035       0
    -0.100     0.060    -0.039       0
    -0.080     0.060    -0.042       0
    -0.060     0.060    -0.042       0
    -0.040     0.060    -0.042       0
    -0.020     0.060    -0.042       0
     0.000     0.060     0.000       0
     0.020     0.060     0.008       0
     0.040     0.060     0.008       0
     0.060     0.060     0.008       0
     0.080     0.060     0.007       0
     0.100     0.060     0.004       0
     0.120     0.060     0.002       0
     0.140     0.060     0.002       0
     0.160     0.060     0.004       0
     0.180     0.060     0.005       0
     0.200     0.060     0.003       0
     0.220     0.060     0.002       0
     0.240     0.060     0.001       0
     0.260     0.060     0.001       0
     0.280     0.060     0.000       0
     0.300     0.060     0.000       0
     0.320     0.060     0.000       0
     0.340     0.060     0.000       0
    -0.340     0.080     0.015       0
    -0.320     0.080     0.018       0
    -0.300     0.080     0.021       0
    -0.280     0.080     0.022       0
    -0.260     0.080     0.020       0
    -0.240     0.080     0.012       0
    -0.220     0.080    -0.003       0
    -0.200     0.080    -0.017       0
    -0.180     0.080    -0.028       0
    -0.160     0.080    -0.027       0
    -0.140     0.080    -0.024       0
    -0.120     0.080    -0.029       0
    -0.100     0.080    -0.035       0
    -0.080     0.080    -0.042       0
    -0.060     0.080    -0.042       0
    -0.040     0.080    -0.042       0
    -0.020     0.080    -0.042       0
     0.000     0.080     0.000       0
     0.020     0.080     0.008       0
     0.040     0.080     0.008       0
     0.060     0.080     0.007       0
     0.080     0.080     0.005       0
     0.100     0.080     0.000       0
     0.120     0.080    -0.003       0
     0.140     0.080    -0.003       0
     0.160     0.080     0.000       0
     0.180     0.080     0.001       0
     0.200     0.080    -0.001       0
     0.220     0.080    -0.004       0
     0.240     0.080    -0.005       0
     0.260     0.080    -0.006       0
     0.280     0.080    -0.007       0
     0.300     0.080    -0.008       0
     0.320     0.080    -0.007       0
     0.340     0.080    -0.007       0
    -0.340     0.100     0.040     127
    -0.320     0.100     0.047     892
    -0.300     0.100     0.053    1352
    -0.280     0.100     0.054    1045
    -0.260     0.100     0.051    1160
    -0.240     0.100     0.039     886
    -0.220     0.100     0.020     932
    -0.200     0.100     0.003     686
    -0.180     0.100    -0.009     676
    -0.160     0.100    -0.007    1062
    -0.140     0.100    -0.003    1186
    -0.120     0.100    -0.007    1415
    -0.100     0.100    -0.013     316
    -0.080     0.100    -0.027       0
    -0.060     0.100    -0.035       0
    -0.040     0.100    -0.042       0
    -0.020     0.100    -0.042       0
     0.000     0.100     0.000       0
     0.020     0.100     0.008       0
     0.040     0.100     0.008       0
     0.060     0.100     0.005       0
     0.080     0.100     0.001       0
     0.100     0.100    -0.004     100
     0.120     0.100    -0.009    2395
     0.140     0.100    -0.005    1943
     0.160     0.100    -0.001    2081
     0.180     0.100     0.001    2150
     0.200     0.100    -0.002    2042
     0.220     0.100    -0.005    1952
     0.240     0.100    -0.008    2328
     0.260     0.100    -0.008    2001
     0.280     0.100    -0.009    1933
     0.300     0.100    -0.008    1769
     0.320     0.100    -0.009    1651
     0.340     0.100    -0.010     447
    -0.340     0.120     0.032    1750
