Name RA DEC l b Epoch
BLG559 18:29:36 -23:04:40 9:55:48 -05:47:15 2000.0
BLG560 18:29:45 -24:18:30 8:50:35 -06:22:36 2000.0
BLG561 18:29:54 -25:32:20 7:45:12 -06:57:47 2000.0
BLG562 18:30:03 -26:46:10 6:39:38 -07:32:47 2000.0
BLG567 18:35:07 -24:55:25 8:50:26 -07:44:34 2000.0
BLG568 18:35:19 -26:09:15 7:44:47 -08:19:42 2000.0
BLG766 18:09:07 -14:28:50 15:14:23 02:32:01 2000.0
BLG767 18:09:03 -15:43:40 14:08:21 01:56:42 2000.0
BLG768 18:08:57 -16:57:30 13:03:00 01:22:14 2000.0
BLG769 18:08:51 -18:11:20 11:57:42 00:47:43 2000.0
BLG770 18:14:14 -12:38:05 17:27:28 02:19:41 2000.0
BLG771 18:14:10 -13:51:55 16:22:04 01:45:18 2000.0
BLG772 18:14:08 -15:06:45 15:16:04 01:09:59 2000.0
BLG773 18:14:04 -16:20:35 14:10:45 00:35:32 2000.0
BLG774 18:14:00 -17:34:25 13:05:28 00:01:03 2000.0
BLG775 18:13:56 -18:48:15 12:00:10 00:33:26 2000.0
BLG776 18:19:16 -10:47:20 19:40:07 02:07:06 2000.0
BLG777 18:19:15 -12:01:10 18:34:53 01:32:29 2000.0
BLG778 18:19:13 -13:15:00 17:29:33 00:58:02 2000.0
BLG779 18:19:12 -14:29:50 16:23:29 00:22:53 2000.0
BLG780 18:19:10 -15:43:40 15:18:12 00:11:36 2000.0
BLG781 18:19:08 -16:57:30 14:12:54 00:46:05 2000.0
BLG782 18:19:06 -18:11:20 13:07:36 -01:20:33 2000.0
BLG783 18:19:04 -19:23:10 12:04:02 -01:54:03 2000.0
BLG784 18:19:02 -20:37:00 10:58:39 -02:28:28 2000.0
BLG785 18:24:15 -10:10:25 20:47:16 01:19:32 2000.0
BLG786 18:24:15 -11:24:15 19:41:59 00:45:00 2000.0
BLG787 18:24:15 -12:38:05 18:36:44 00:10:27 2000.0
BLG788 18:24:15 -13:52:55 17:30:36 00:24:34 2000.0
BLG789 18:24:15 -15:06:45 16:25:20 00:59:07 2000.0
BLG569 18:24:16 -16:20:35 15:20:10 -01:33:51 2000.0
BLG570 18:24:16 -17:34:25 14:14:51 -02:08:20 2000.0
BLG571 18:24:16 -18:46:15 13:11:15 -02:41:50 2000.0
BLG572 18:24:16 -20:00:05 12:05:50 -03:16:13 2000.0
BLG549 18:24:16 -21:13:55 11:00:20 -03:50:32 2000.0
BLG790 18:29:17 -12:02:10 19:42:53 00:38:04 2000.0
BLG574 18:29:18 -13:16:00 18:37:34 -01:12:32 2000.0
BLG575 18:29:20 -14:29:50 17:32:21 -01:47:10 2000.0
BLG576 18:29:20 -15:43:40 16:26:51 -02:21:21 2000.0
BLG577 18:29:22 -16:57:30 15:21:32 -02:55:54 2000.0
BLG578 18:29:24 -18:11:20 14:16:08 -03:30:22 2000.0
BLG579 18:29:26 -19:23:10 13:12:26 -04:03:51 2000.0
BLG557 18:29:28 -20:37:00 12:06:52 -04:38:09 2000.0
BLG558 18:29:31 -21:50:50 11:01:18 -05:12:33 2000.0
BLG581 18:34:17 -11:25:15 20:49:34 -01:26:08 2000.0
BLG582 18:34:18 -12:39:05 19:44:05 -02:00:19 2000.0
BLG583 18:34:21 -13:52:55 18:38:47 -02:34:53 2000.0
BLG584 18:34:25 -15:06:45 17:33:32 -03:09:37 2000.0
BLG585 18:34:25 -16:20:35 16:27:46 -03:43:24 2000.0
BLG586 18:34:29 -17:34:25 15:22:21 -04:17:57 2000.0
BLG587 18:34:33 -18:48:15 14:16:50 -04:52:24 2000.0
BLG563 18:34:39 -20:00:05 13:13:12 -05:26:15 2000.0
BLG564 18:34:42 -21:13:55 12:07:20 -06:00:15 2000.0
BLG565 18:34:47 -22:27:45 11:01:31 -06:34:31 2000.0
BLG589 18:39:18 -12:02:10 20:50:31 -02:48:33 2000.0
BLG590 18:39:20 -13:16:00 19:44:56 -03:22:38 2000.0
BLG591 18:39:25 -14:29:50 18:39:36 -03:57:18 2000.0
BLG592 18:39:31 -15:43:40 17:34:16 -04:32:05 2000.0
BLG593 18:39:31 -16:57:30 16:28:11 -05:05:28 2000.0
BLG594 18:39:37 -18:11:20 15:22:37 -05:40:00 2000.0
BLG595 18:39:43 -19:25:10 14:16:56 -06:14:25 2000.0
BLG596 18:39:45 -20:39:00 13:10:39 -06:47:49 2000.0
BLG750 18:39:57 -21:52:50 12:05:16 -07:23:09 2000.0
BLG751 18:40:05 -23:06:40 10:59:16 -07:57:28 2000.0
BLG752 18:40:16 -24:20:30 9:53:22 -08:32:11 2000.0
BLG753 18:40:31 -25:34:20 8:47:39 -09:07:29 2000.0
